"geoip.country_iso_code: Descending","Sum of download.size"
CA,22638601225951
US,17215196849598
CN,12301839984606
GB,2428072072486
FR,1949093942620
DE,1740899684401
SA,1289065674679
IN,1273337402732
TR,1185887923361
BR,968479048220
JP,871129906481
IT,846646669010
CH,524354565154
ES,511820178968
AU,315625983602
CL,307024767691
NL,281269524765
KR,255604414151
PT,246924521317
TW,234614459496
SE,216562631829
PL,213995691575
LT,153470714314
DK,147594003717
HK,143288894696
HR,137131639607
IE,99903847076
CZ,81896050306
NO,77164165232
AT,67568210655
AR,67228808269
IL,65964209247
SK,62031853612
NZ,49843299319
HU,48835082371
LK,47292475410
CO,46532121682
GR,32338188162
PR,27868695392
BE,27053605353
EG,26014538648
BY,22871851382
MY,21959935489
AE,21667098193
FI,21242996701
IR,21104212374
OM,20256715646
MX,19671339096
BG,15483699800
CR,11351927085
