"geoip.country_iso_code: Descending","Sum of download.size"
CA,26498657873769
US,18336021827176
CN,12633933765142
GB,2875140274322
FR,2177618622001
DE,1954732952546
IN,1447966655875
SA,1290028712534
TR,1252007247336
IT,1229538338969
BR,952584913638
JP,894164839567
AU,731484635536
ES,594981401332
CH,578257044520
CL,498918975725
NL,316658098310
TW,303609517997
KR,274682536061
PL,258001114655
SE,255532606378
HK,178661363276
LT,158305890154
DK,140172599958
AT,134553723942
PH,120436382926
CZ,119431724356
PT,100888677295
IE,93274398116
IL,92187894082
BD,90364230125
BE,77837639298
NO,77581181431
HU,74194993380
NZ,70955148219
AR,67431496909
GR,62747824154
IR,57290971913
CO,47499354486
LK,47292475410
RS,44476774268
VE,43625444361
UA,36486984558
EG,35902344145
MY,35125629520
FI,30791578726
TT,29843771790
ZA,27984850876
PR,27868695392
PA,26517952218
